step,ancien,nouveau,raison,score_ancien,score_nouveau
8399,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9992
8400,HoeffdingTree,KNN_ADWIN,bandit,0.9992,1.0
8401,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9992
8402,HoeffdingTree,KNN_ADWIN,bandit,0.9992,1.0
8436,KNN_ADWIN,SGD,bandit,1.0,0.9989
8437,SGD,KNN_ADWIN,bandit,0.9989,1.0
8440,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9992
8441,HoeffdingTree,KNN_ADWIN,bandit,0.9992,1.0
8443,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9992
8444,HoeffdingTree,SGD,bandit,0.9992,0.9989
8445,SGD,KNN_ADWIN,bandit,0.9989,1.0
8449,KNN_ADWIN,SGD,bandit,1.0,0.9989
8450,SGD,KNN_ADWIN,bandit,0.9989,1.0
8480,KNN_ADWIN,SGD,bandit,1.0,0.9989
8481,SGD,KNN_ADWIN,bandit,0.9989,1.0
8494,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9987
8495,HoeffdingTree,KNN_ADWIN,bandit,0.9987,1.0
8500,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9987
8501,HoeffdingTree,KNN_ADWIN,bandit,0.9987,1.0
8505,KNN_ADWIN,SGD,bandit,1.0,0.9989
8506,SGD,KNN_ADWIN,bandit,0.9989,1.0
8547,KNN_ADWIN,SGD,bandit,1.0,0.9989
8548,SGD,KNN_ADWIN,bandit,0.9989,1.0
8585,KNN_ADWIN,SGD,bandit,1.0,0.9989
8586,SGD,KNN_ADWIN,bandit,0.9989,1.0
8604,KNN_ADWIN,SGD,bandit,1.0,0.9989
8605,SGD,KNN_ADWIN,bandit,0.9989,1.0
8620,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9986
8621,HoeffdingTree,KNN_ADWIN,bandit,0.9986,1.0
8622,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9986
8623,HoeffdingTree,KNN_ADWIN,bandit,0.9986,1.0
8632,KNN_ADWIN,SGD,bandit,1.0,0.9989
8633,SGD,KNN_ADWIN,bandit,0.9989,1.0
8637,KNN_ADWIN,SGD,bandit,1.0,0.9989
8638,SGD,KNN_ADWIN,bandit,0.9989,1.0
8641,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9986
8642,HoeffdingTree,KNN_ADWIN,bandit,0.9986,1.0
8649,KNN_ADWIN,SGD,bandit,1.0,0.9989
8651,SGD,KNN_ADWIN,bandit,0.9989,1.0
8654,KNN_ADWIN,SGD,bandit,1.0,0.9989
8655,SGD,KNN_ADWIN,bandit,0.9989,1.0
8671,KNN_ADWIN,SGD,bandit,1.0,0.9989
8672,SGD,KNN_ADWIN,bandit,0.9989,1.0
8684,KNN_ADWIN,SGD,bandit,1.0,0.9989
8685,SGD,KNN_ADWIN,bandit,0.9989,1.0
8705,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9986
8706,HoeffdingTree,KNN_ADWIN,bandit,0.9986,1.0
8711,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9986
8712,HoeffdingTree,KNN_ADWIN,bandit,0.9986,1.0
8713,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9986
8714,HoeffdingTree,KNN_ADWIN,bandit,0.9986,1.0
8721,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9986
8723,HoeffdingTree,KNN_ADWIN,bandit,0.9986,1.0
8735,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9986
8736,HoeffdingTree,KNN_ADWIN,bandit,0.9986,1.0
8740,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9986
8741,HoeffdingTree,KNN_ADWIN,bandit,0.9986,1.0
8766,KNN_ADWIN,SGD,bandit,1.0,0.9989
8767,SGD,KNN_ADWIN,bandit,0.9989,1.0
8788,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9986
8789,HoeffdingTree,KNN_ADWIN,bandit,0.9986,1.0
8808,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9986
8809,HoeffdingTree,KNN_ADWIN,bandit,0.9986,1.0
8827,KNN_ADWIN,SGD,bandit,1.0,0.999
8828,SGD,KNN_ADWIN,bandit,0.999,1.0
8829,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9987
8831,HoeffdingTree,KNN_ADWIN,bandit,0.9987,1.0
8833,KNN_ADWIN,SGD,bandit,1.0,0.999
8834,SGD,KNN_ADWIN,bandit,0.999,1.0
8891,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9987
8892,HoeffdingTree,KNN_ADWIN,bandit,0.9987,1.0
8898,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9987
8899,HoeffdingTree,KNN_ADWIN,bandit,0.9987,1.0
